age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
												AY	1		MY		1034.5	1749.3	2674.8	302.8	149.5	3082.4	117.498	117.428	117.788	0.36																1034.2	1757.3	947.4	2000.4	720.1	2266.6	579.3	2587.6	524.8	2702.9	5
												AH	1		OTHER		907.2	1450.5	2861.1	80.8	113.7	350.2	118.761	118.721	118.841	0.12																899.8	1506.8	908.9	1455.6	868.1	1492.9	768.2	1503.4	702.3	1511.8	5
												ER	0		OTHER		641.7	1744.8	1855.6	105.4	199	1698.6	118.904	118.871	118.971	0.1																668.1	1657	634.9	1742.7	568.6	1677.3	463.3	1561.2	562.4	1565.8	6
												AY	1		MY		957.4	1818.6	2846.6	242.6	145	1452.2	119.302	119.303	119.494	0.191																881.3	2093.4	715.9	2323.6	594.7	2526.5	567.2	2563.3	522.9	2643.1	5
												AE	1		DAD'S		661.1	2361.6	3353.3	100.6	126.7	347.2	119.777	119.714	119.904	0.19																577.3	2378	665.4	2355.6	728.1	2249.1	753	2142.8	671.4	2035.7	4
												EH	1		PARENTS		643	2255	3285.8	180.3	103.9	954.5	120.111	120.074	120.184	0.11																648.6	2294.8	643.7	2252.2	653	2210.8	669.9	2166.9	681.6	2137	4
												OW	1		BOTH		652.6	1105.7	2630	106.3	116.6	268.3	120.513	120.494	120.594	0.1																655.5	1106.1	682.3	1100.5	672.9	1086.2	645.3	1071.6	614.5	1075.8	5
												AO	1		BORN		579.8	994.4	2404.4	65	128.5	313.1	120.754	120.724	120.814	0.09																574.3	1092.9	582.2	997.7	613.6	1081.9	635.8	1168.3	652.3	1277.5	6
												ER	0		FOR		665.3	1655.4	2882.4	78.1	205.7	227.6	143.02	143.003	143.054	0.051																666.4	1657.4	664.9	1654.6	658.8	1646.2	643.8	1628.8	624.2	1608	5
												AO	1		MALL		959.4	1285	2640.9	213.8	235.2	1288.2	143.327	143.254	143.474	0.22																994.8	1185.8	960	1287.9	991.8	1284.9	980.1	1237.2	901.6	1164.4	6
												AE	1		AND		660.2	1766.7	3406.8	104.2	107.8	466.4	143.703	143.683	143.744	0.061																652.1	1725.6	660.9	1771.8	660.6	1815.6	648.1	1845.1	630.1	1850.2	4
												AY	1		I		964.5	1823.2	3289.6	111.1	210.4	1210.4	144.43	144.423	144.503	0.08																950.1	1900.5	895.5	1998.9	817.2	2142.4	736.4	2300.6	640.6	2423.4	4
												OW	1		GO		596.9	992.1	2704.1	147.6	132.5	658.3	144.608	144.583	144.733	0.15																600.8	979.4	608.3	975.7	589.4	993	535.1	1001.8	509.9	1092.1	6
												EH	1		THERE		699.6	1890.9	2455.9	77	197.6	393.8	144.933	144.803	145.193	0.39																693.6	2072	696.3	1884.4	673.5	1840.5	632.2	1800.1	608	1834.2	5
												AH	1		COUPLE		818.2	1282.7	1664.1	206.2	128.1	1200.3	146.095	146.078	146.128	0.05																828.8	1266.7	818.2	1282.7	798.7	1262.3	773.7	1243.5	735.4	1221.9	6
												EY	1		MAYBE		599.2	2407.7	3080.5	118.9	213.8	402.2	147.859	147.83	147.93	0.1																589.4	2359.9	592.1	2409.6	552.7	2397.9	518.8	2302.7	528.4	2077.5	5
												IY	0		MAYBE		545.6	2116.7	2640.9	121.8	308.9	531.9	147.98	147.95	148.04	0.09																564.1	2078.8	544	2113.6	530.3	1984.5	510.3	1784.9	483.2	1585.9	5
												AH	1		ONCE		708.1	1250	2727.3	145.1	151.9	354	148.157	148.13	148.21	0.08																709.9	1176.6	707.9	1255.9	702.5	1322.1	677.5	1382.1	581.9	1392.7	5
												AH	1		MONTH		984.4	1336.3	2438.2	292.7	175	898.7	148.497	148.46	148.57	0.11																959.2	1256.1	986.1	1348.7	952.2	1423.9	827.9	1447	689	1469.3	6
												EY	1		THEY		695.9	2279.2	3250.4	125.2	271.6	536.7	149.08	149.05	149.11	0.06																673.6	2073.9	687.3	2178.2	695.9	2279.2	712.8	2370.9	731.6	2396.5	4
												AE	1		HAVE		813.1	2125.1	3157.9	38.2	164.9	359.8	149.203	149.169	149.27	0.101																805.5	2171.4	813.4	2119.4	815.7	1986.3	813.8	1848	806.9	1736.8	4
												AH	1		CLUB		794.2	1329	1893.5	39.6	115.1	2560.6	149.577	149.55	149.63	0.08																799.5	1316.7	793.4	1328.8	777.4	1319.5	722.8	1282.2	604.9	1195.3	6
												EH	1		THERE		609.2	1922.7	3065.2	112.4	186.7	383.6	149.797	149.76	149.87	0.11																606.3	1934.1	610.4	1921.5	617.3	1909.5	615.9	1882.5	610.1	1844.9	4
												IY	1		ME		620.2	2503.3	3175.4	134.2	312.7	318.1	150.073	150.05	150.12	0.07																628.9	2400.7	618.6	2516.2	616.6	2536.6	615.2	2496	616.1	2447.8	5
												AY	1		MY		837	1799.9	3226.1	222	173.7	834.9	150.241	150.23	150.3	0.07								s								835.1	1821.5	809	1879.3	786.5	1899.2	781.8	1960.1	765.8	2017.2	4
												EH	1		FRIENDS		809	1605.5	2429.3	251.8	167.4	697.3	150.457	150.43	150.51	0.08																772.6	1605.6	811.1	1606	830.1	1619.7	829.9	1637.3	794.4	1639.8	5
												OW	1		GO		593.9	1213.2	2190.8	83.7	117.6	474.9	150.755	150.74	150.86	0.12																595.7	1155.6	591.6	1064.7	576	1036.2	564	1080.4	559.5	1158.3	6
												UW	1		TO		526.3	1798.1	2736.5	123.6	185.6	661.2	150.987	150.98	151.15	0.17																541.3	1700.3	517.9	1531.5	484.7	1276.7	492.3	1407.6	466.9	1737.7	5
												OW	1		SO		796.8	1454.7	3337.3	153.4	162	177.1	151.312	151.28	151.45	0.17																786	1487.5	839.7	1387.1	891.1	1233.4	866.1	1248.1	830	2914.7	4
												EH	1		NEVER		860.1	1678.8	2750.2	222.7	190.4	989.1	156.002	155.975	156.055	0.08																794.1	1704.5	863.4	1676.6	860.5	1651.2	829.7	1633.9	782.8	1610.8	5
												ER	0		NEVER		597	1566.5	2123.7	151.7	161.5	260.7	156.132	156.105	156.185	0.08																615.8	1577.5	594.8	1564.9	555.3	1551.4	495.6	1559.8	494.6	1790.4	5
												AH	0		BEEN		699.4	1562	2717.8	80.5	147.8	356.2	156.241	156.224	156.275	0.051																689.6	1550.8	702.4	1565.5	726.6	1591.9	756.7	1615.9	768.7	1626.5	5
